Disciplina, Carga Horária
Álgebra Linear, 72
Algoritmos e Programação, 144
Arquiteturas Paralelas e Distribuídas, 72
Atividades Complementares, 72
Bancos de Dados, 72
Cálculo Numérico ,54
Compiladores , 72
Computação Gráfica, 72
Comunicação e Expressão, 36
Direito em Informática, 36
Eletivas, 144
Empreendedorismo e Gestão de Negócios, 72
Engenharia de Software, 72
Estruturas de Dados, 72
Filosofia, 36
Física, 72
Geometria Analítica e Vetores, 72
Introdução à Computação, 72
Linguagens Formais e Autômatos, 72
Matemática Computacional, 288
Matemática Discreta, 72
Metodologia de Pesquisa, 36
Organização e Arquitetura de Computadores, 72
Paradigmas de Linguagens de Programação, 72
Pesquisa Operacional, 72
Probabilidade e Estatística, 72
Processos Estocásticos e Aplicações, 72
Programação Orientada a Objetos, 72
Projeto Interativo, 252
Redes de Computadores, 72
Sistemas Multimídia e Hipermídia, 36
Sistemas Operacionais, 72
Sociologia, 36
Teoria da Computação, 72
Trabalho de conclusão de curso, 216
Usabilidade e Interfaces Humano Computador, 36

Total, 3006
